Plant,Location,Q,ZN,PH,DBO,DQO,SS,SSV,SED,COND
D-1/3/90,E,44101,1.50,7.8,,407,166,66.3,4.5,2110
D-2/3/90,E,39024,3.00,7.7,,443,214,69.2,6.5,2660
D-4/3/90,E,32229,5.00,7.6,,528,186,69.9,3.4,1666
D-5/3/90,E,35023,3.50,7.9,205,588,192,65.6,4.5,2430
D-6/3/90,E,36924,1.50,8.0,242,496,176,64.8,4.0,2110
D-7/3/90,E,38572,3.00,7.8,202,372,186,68.8,4.5,1644
D-8/3/90,E,41115,6.00,7.8,,552,262,64.1,5.0,1603
D-9/3/90,E,36107,5.00,7.7,215,489,334,40.7,6.0,1613
D-11/3/90,E,29156,2.50,7.7,206,451,194,69.1,4.5,1249
D-12/3/90,E,39246,2.00,7.8,172,506,200,69.0,5.0,1865
D-13/3/90,E,42393,0.70,7.9,189,478,230,67.0,5.5,1410
D-14/3/90,E,42857,1.50,7.7,238,319,292,33.8,3.5,1261
D-15/3/90,E,42911,0.70,7.6,114,252,116,58.6,1.2,1238
D-16/3/90,E,40376,,8.1,204,333,174,67.8,3.0,2390
D-18/3/90,E,40923,3.50,7.6,146,329,188,57.4,2.5,1300
D-19/3/90,E,43830,1.5,7.8,177,512,214,58.9,5.5,1605
D-20/3/90,E,39165,1.20,7.4,250,447,252,61.1,7.0,1533
D-21/3/90,E,35791,1.20,7.8,277,466,246,63.4,4.0,1556
D-22/3/90,E,37419,1.20,7.6,219,446,222,61.3,5.5,1600
D-23/3/90,E,40983,3.00,7.6,182,431,214,57.0,7.0,1591
D-25/3/90,E,42217,8.50,7.5,138,333,240,55.0,3.8,1087
D-26/3/90,E,47665,1.20,7.7,156,405,200,74.0,4.0,1856
D-27/3/90,E,44314,3.00,7.8,155,389,308,49.4,6.0,1927
D-28/3/90,E,40841,1.00,7.6,179,389,168,69.0,3.5,1240
D-29/3/90,E,41157,3.00,8.0,145,398,192,66.7,4.5,2240
D-30/3/90,E,40078,1.40,7.9,198,464,228,64.9,4.6,1431
D-1/2/90,E,44365,7.50,7.9,,365,212,62.3,3.5,1339
D-2/2/90,E,43080,4.25,7.8,95,349,136,76.5,2.5,1063
D-4/2/90,E,29414,3.00,7.6,160,374,168,69.0,3.1,1042
D-5/2/90,E,37312,1.00,8.1,205,492,192,70.8,4.0,1454
D-6/2/90,E,38568,0.70,8.2,233,506,204,66.7,6.7,1692
D-7/2/90,E,38655,1.50,7.9,179,344,172,65.1,3.8,1379
D-8/2/90,E,34193,2.00,8.0,166,396,176,70.5,4.0,1265
D-9/2/90,E,36332,3.50,7.9,120,455,184,67.4,4.0,1224
D-11/2/90,E,32484,0.90,7.5,,388,170,76.5,3.5,1130
D-12/2/90,E,37724,1.00,7.9,,526,206,70.9,5.5,1422
D-13/2/90,E,36446,1.00,7.7,,710,366,55.7,6.5,2400
D-14/2/90,E,35636,1.20,8.0,203,469,264,65.2,5.2,1489
D-15/2/90,E,34746,1.00,7.7,208,427,192,75.0,4.5,1426
D-16/2/90,E,34893,1.20,8.0,235,,228,75.4,7.0,1532
D-18/2/90,E,37102,2.00,7.8,196,353,174,67.8,4.0,1315
D-19/2/90,E,41598,1.2,8.2,194,419,186,72.0,0.4,1310
D-21/2/90,E,38058,1.00,7.8,193,424,170,74.1,4.0,1406
D-22/2/90,E,40716,3.50,8.1,,524,222,67.6,5.8,1597
D-23/2/90,E,40868,1.50,8.1,206,490,190,68.4,5.2,1392
D-25/2/90,E,36358,2.00,7.7,192,298,162,67.9,4.0,1241
D-26/2/90,E,40879,1.20,7.6,,435,196,68.4,4.5,1421
D-27/2/90,E,44150,1.00,8.1,,516,164,75.6,3.5,1548
D-28/2/90,E,45779,3.00,7.8,,376,194,68.5,5.0,2020
D-1/1/90,E,41230,0.35,7.6,120,344,136,54.4,4.5,993
D-2/1/90,E,37386,1.40,7.9,165,470,170,76.5,4.0,1365
D-3/1/90,E,34535,1.00,7.8,232,518,220,65.5,5.5,1617
D-4/1/90,E,32527,3.00,7.8,187,460,180,67.8,5.2,1832
D-7/1/90,E,27760,1.20,7.6,199,466,186,74.2,4.5,1220
D-8/1/90,E,36281,2.00,7.8,,612,226,70.8,8.0,1544
D-9/1/90,E,38055,3.50,7.8,221,524,188,72.3,5.0,1540
D-10/1/90,E,34064,1.00,8.1,230,535,242,66.9,6.5,1652
D-11/1/90,E,31447,3.50,7.9,190,374,192,70.8,6.5,1494
D-12/1/90,E,32127,17,7.7,,526,292,63.7,7.5,2240
D-14/1/90,E,31059,3.50,7.8,202,431,200,74.0,5.0,1302
D-15/1/90,E,36470,4.50,7.8,227,526,212,68.9,4.5,1542
D-16/1/90,E,47449,1.70,7.8,170,401,158,67.1,4.0,1292
D-17/1/90,E,43940,3.50,7.8,149,361,186,62.4,3.2,1651
D-18/1/90,E,40347,1.75,7.7,155,338,132,69.7,2.7,1332
D-19/1/90,E,40267,1.8,7.9,180,433,186,72.0,4.0,1729
D-21/1/90,E,37976,1.00,7.7,148,345,162,77.8,3.2,1432
D-22/1/90,E,47368,2.00,7.9,156,417,152,73.7,4.5,1608
D-23/1/90,E,48086,5.00,8.0,247,444,166,73.5,3.5,1700
D-24/1/90,E,47642,5.00,7.9,157,428,204,53.9,4.0,1989
D-25/1/90,E,43174,4.50,7.7,179,420,158,68.4,2.5,1260
D-26/1/90,E,39891,2.00,7.6,178,416,188,60.6,4.5,1301
D-28/1/90,E,32257,3.50,7.5,246,583,504,45.2,7.3,1016
D-29/1/90,E,40498,10,8.1,202,476,300,49.3,3.7,1636
D-30/1/90,E,40221,2.00,8.1,177,407,172,58.1,2.5,1379
D-31/1/90,E,46669,1.75,7.8,,340,168,71.4,2.3,1477
D-1/6/90,E,34669,1.20,7.8,198,381,216,51.9,3.5,1415
D-3/6/90,E,41824,1.20,7.8,161,281,164,58.5,2.3,1075
